USN,Computer Networks,Introduction to Operating Systems,Principles of Programming Languages,Elective1,Elective2,SGPA
01FB15ECS001,A,S,S,S,S,8.52
01FB15ECS002,S,S,A,A,A,8.17
01FB15ECS003,S,A,A,A,S,8.17
01FB15ECS004,S,A,A,S,A,8.17
01FB15ECS005,A,A,A,S,A,8.0
01FB15ECS006,A,A,D,A,A,7.3
01FB15ECS007,A,B,S,S,S,8.17
01FB15ECS008,D,S,A,S,S,7.83
01FB15ECS009,A,A,S,A,S,8.17
01FB15ECS010,B,S,C,B,S,7.48
01FB15ECS011,S,S,A,A,B,8.0
01FB15ECS012,A,B,B,A,B,7.3
01FB15ECS013,A,B,A,D,S,7.3
01FB15ECS014,S,S,A,S,S,8.52
01FB15ECS015,S,A,S,B,A,8.0
01FB15ECS016,B,S,S,A,S,8.17
01FB15ECS017,S,S,A,S,A,8.35
01FB15ECS018,A,A,S,C,A,7.65
01FB15ECS019,A,A,A,S,S,8.17
01FB15ECS020,A,S,S,A,S,8.35
01FB15ECS021,A,C,A,A,S,7.65
01FB15ECS022,A,S,A,B,A,7.83
01FB15ECS023,S,S,S,C,A,8.0
01FB15ECS024,B,S,A,A,S,8.0
01FB15ECS025,S,B,C,S,A,7.65
01FB15ECS026,S,S,S,A,A,8.35
01FB15ECS027,A,S,S,A,C,7.83
01FB15ECS028,B,A,A,A,A,7.65
01FB15ECS029,B,S,A,A,S,8.0
01FB15ECS030,A,S,A,A,B,7.83
01FB15ECS031,S,S,S,A,A,8.35
01FB15ECS032,A,C,S,A,A,7.65
01FB15ECS033,C,A,S,B,S,7.65
01FB15ECS034,A,A,A,F,S,6.43
01FB15ECS035,S,S,S,S,S,8.7
01FB15ECS036,A,S,S,S,A,8.35
01FB15ECS037,A,S,A,A,S,8.17
01FB15ECS038,A,S,A,A,A,8.0
01FB15ECS039,S,S,S,S,S,8.7
01FB15ECS040,S,S,S,S,A,8.52
01FB15ECS041,S,A,A,A,A,8.0
01FB15ECS042,A,S,A,B,S,8.0
01FB15ECS043,A,S,S,A,A,8.17
01FB15ECS044,A,S,A,S,B,8.0
01FB15ECS045,A,A,A,B,B,7.48
01FB15ECS046,A,A,S,A,S,8.17
01FB15ECS047,B,S,A,A,S,8.0
01FB15ECS048,S,B,A,S,B,7.83
01FB15ECS049,S,S,A,A,A,8.17
01FB15ECS050,S,A,S,S,A,8.35
01FB15ECS051,S,S,S,S,A,8.52
01FB15ECS052,A,C,S,A,S,7.83
01FB15ECS053,C,B,B,S,D,6.78
01FB15ECS054,A,C,A,S,B,7.48
01FB15ECS055,S,A,B,A,B,7.65
01FB15ECS056,S,S,S,B,S,8.35
01FB15ECS057,A,B,A,S,S,8.0
01FB15ECS058,S,A,A,A,B,7.83
01FB15ECS059,S,S,S,S,A,8.52
01FB15ECS060,A,A,B,S,F,6.26
01FB15ECS061,A,S,S,A,C,7.83
