USN,Linear Algebra and Its Applications,Design and Analysis of Algorithms,Database Management Systems,Microprocessor and Computer Architecture,Theory of Computation,SGPA
01FB16ECS001,A,A,A,C,D,6.96
01FB16ECS002,A,A,A,A,A,7.83
01FB16ECS003,A,B,A,D,A,7.13
01FB16ECS004,A,A,S,A,B,7.83
01FB16ECS005,A,A,C,A,C,7.13
01FB16ECS006,S,B,B,S,B,7.65
01FB16ECS007,S,A,S,S,A,8.35
01FB16ECS008,A,S,S,S,A,8.35
01FB16ECS009,C,S,S,S,A,8.0
01FB16ECS010,A,S,S,A,A,8.17
01FB16ECS011,A,A,A,B,S,7.83
01FB16ECS012,A,B,S,A,A,7.83
01FB16ECS013,B,S,A,S,F,6.43
01FB16ECS014,A,A,A,S,S,8.17
01FB16ECS015,A,A,S,A,A,8.0
01FB16ECS016,S,A,A,S,A,8.17
01FB16ECS017,A,S,S,C,S,8.0
01FB16ECS018,S,S,S,A,A,8.35
01FB16ECS019,S,A,S,A,A,8.17
01FB16ECS020,S,B,A,A,S,8.0
01FB16ECS021,A,A,A,S,A,8.0
01FB16ECS022,A,S,A,S,A,8.17
01FB16ECS023,S,A,A,A,S,8.17
01FB16ECS024,S,S,C,S,A,8.0
01FB16ECS025,B,S,S,A,S,8.17
01FB16ECS026,A,B,B,S,A,7.65
01FB16ECS027,S,A,A,S,A,8.17
01FB16ECS028,A,A,A,B,A,7.65
01FB16ECS029,A,A,S,A,A,8.0
01FB16ECS030,A,S,S,A,A,8.17
01FB16ECS031,A,A,A,B,A,7.65
01FB16ECS032,S,S,A,A,A,8.17
01FB16ECS033,S,F,A,S,A,6.61
01FB16ECS034,S,A,A,S,A,8.17
01FB16ECS035,S,A,A,B,A,7.83
01FB16ECS036,S,A,A,A,S,8.17
01FB16ECS037,A,A,S,A,A,8.0
01FB16ECS038,A,A,A,B,A,7.65
01FB16ECS039,E,A,S,B,B,6.96
01FB16ECS040,A,S,S,A,S,8.35
01FB16ECS041,S,A,A,S,A,8.17
01FB16ECS042,S,B,A,S,S,8.17
01FB16ECS043,S,A,S,B,S,8.17
01FB16ECS044,S,A,A,A,A,8.0
01FB16ECS045,S,A,B,S,B,7.83
01FB16ECS046,A,S,S,S,A,8.35
01FB16ECS047,A,C,S,B,B,7.3
01FB16ECS048,A,A,A,S,B,7.83
01FB16ECS049,S,A,A,S,S,8.35
01FB16ECS050,A,A,S,A,S,8.17
01FB16ECS051,A,S,A,S,A,8.17
01FB16ECS052,S,S,S,A,S,8.52
01FB16ECS053,S,S,A,A,S,8.35
01FB16ECS054,S,A,A,S,A,8.17
01FB16ECS055,A,S,A,A,A,8.0
01FB16ECS056,A,A,F,B,A,6.09
01FB16ECS057,S,A,S,S,A,8.35
01FB16ECS058,A,S,B,A,A,7.83
01FB16ECS059,S,A,A,A,S,8.17
01FB16ECS060,S,A,S,A,A,8.17
01FB16ECS061,A,S,S,A,A,8.17
01FB16ECS062,A,A,S,S,S,8.35
01FB16ECS063,A,A,S,S,A,8.17
01FB16ECS064,B,S,S,B,A,7.83
01FB16ECS065,C,A,S,A,A,7.65
01FB16ECS066,S,S,A,S,A,8.35
01FB16ECS067,S,S,S,A,A,8.35
01FB16ECS068,A,B,S,S,S,8.17
