USN,Digital Design and Computer Organization,Data Structures,Introduction to Data Science,Web Technologies I,Discrete Mathematics and Logic,SGPA
01FB16ECS001,A,S,A,B,A,7.83
01FB16ECS002,A,C,S,S,A,7.83
01FB16ECS003,D,S,S,B,S,7.65
01FB16ECS004,S,B,S,A,A,8.0
01FB16ECS005,A,A,A,S,S,8.17
01FB16ECS006,S,S,S,S,A,8.52
01FB16ECS007,S,S,S,C,A,8.0
01FB16ECS008,B,A,D,A,S,7.3
01FB16ECS009,S,S,S,A,A,8.35
01FB16ECS010,S,S,S,A,A,8.35
01FB16ECS011,S,S,A,S,A,8.35
01FB16ECS012,S,A,B,S,C,7.65
01FB16ECS013,S,S,C,A,A,7.83
01FB16ECS014,A,S,S,S,S,8.52
01FB16ECS015,A,A,A,S,B,7.83
01FB16ECS016,A,S,S,S,S,8.52
01FB16ECS017,A,S,S,A,A,8.17
01FB16ECS018,S,S,B,A,S,8.17
01FB16ECS019,A,B,S,A,S,8.0
01FB16ECS020,A,A,A,A,S,8.0
01FB16ECS021,A,S,A,A,A,8.0
01FB16ECS022,C,A,A,A,A,7.48
01FB16ECS023,S,S,D,A,S,7.83
01FB16ECS024,S,A,A,S,A,8.17
01FB16ECS025,S,S,S,B,A,8.17
01FB16ECS026,B,C,S,A,S,7.65
01FB16ECS027,A,A,A,A,S,8.0
01FB16ECS028,S,S,A,S,A,8.35
01FB16ECS029,S,C,A,A,S,7.83
01FB16ECS030,A,A,S,B,A,7.83
01FB16ECS031,S,A,A,B,B,7.65
01FB16ECS032,A,S,C,S,A,7.83
01FB16ECS033,S,S,A,B,S,8.17
01FB16ECS034,A,A,A,A,B,7.65
01FB16ECS035,S,A,B,C,B,7.3
01FB16ECS036,A,B,A,A,A,7.65
01FB16ECS037,S,S,A,A,A,8.17
01FB16ECS038,A,A,A,S,A,8.0
01FB16ECS039,S,A,S,A,A,8.17
01FB16ECS040,B,C,A,B,S,7.3
01FB16ECS041,S,A,A,A,A,8.0
01FB16ECS042,B,S,A,A,A,7.83
01FB16ECS043,A,S,S,S,S,8.52
01FB16ECS044,S,S,A,C,S,8.0
01FB16ECS045,A,S,A,S,S,8.35
01FB16ECS046,B,A,A,A,A,7.65
01FB16ECS047,S,A,B,S,A,8.0
01FB16ECS048,A,A,A,B,S,7.83
01FB16ECS049,S,A,C,A,B,7.48
01FB16ECS050,S,A,A,A,A,8.0
01FB16ECS051,A,A,S,S,A,8.17
